title,director,cast,genre,notes
Air,Amazon Studios,"Ben Affleck, Matt Damon, Jason Bateman, Marlon Wayans, Chris Messina, Chris Tucker, Viola Davis",[74],
Showing Up,A24,"Kelly Reichardt, Jonathan Raymond, Michelle Williams, Hong Chau, Maryann Plunkett, John Magaro, André Benjamin, James LeGros, Judd Hirsch",[76],
Paint,IFC Films,"Owen Wilson, Michaela Watkins, Wendi McLendon-Covey, Ciara Renée, Lusia Strus, Stephen Root",[77],
On a Wing and a Prayer,Amazon Studios,"Sean McNamara, Dennis Quaid, Heather Graham, Jesse Metcalfe",[78],
Chupa,Netflix,"Jonás Cuarón, Demián Bichir, Christian Slater",[79],
How to Blow Up a Pipeline,Neon,"Daniel Goldhaber, Ariela Barer, Kristine Froseth, Lukas Gage, Forrest Goodluck, Sasha Lane, Jayme Lawson, Marcus Scribner, Jake Weary, Irene Bedard",[80],
One True Loves,BuzzFeed Studios,"Andy Fickman, Taylor Jenkins Reid, Phillipa Soo, Simu Liu, Luke Bracey",[81],
Beau Is Afraid,A24,"Ari Aster, Joaquin Phoenix, Patti LuPone, Nathan Lane, Amy Ryan, Parker Posey, Kylie Rogers, Denis Ménochet, Zoe Lister-Jones, Stephen McKinley Henderson, Richard Kind",[84],
The Pope's Exorcist,Screen Gems,"Julius Avery, Michael Petroni, Evan Spiliotopoulos, Russell Crowe, Alex Essoe, Daniel Zovatto, Franco Nero, Ralph Ineson",[85],
Mafia Mamma,Bleecker Street,"Catherine Hardwicke, Toni Collette, Monica Bellucci",[86],
Sweetwater,Briarcliff Entertainment,"Cary Elwes, Jeremy Piven, Richard Dreyfuss, Kevin Pollak",[87],
Guy Ritchie's The Covenant,Metro-Goldwyn-Mayer,"Guy Ritchie, Jake Gyllenhaal, Dar Salim, Antony Starr, Alexander Ludwig, Bobby Schofield, Emily Beecham, Jonny Lee Miller",[91],
Ghosted,Apple TV+,"Dexter Fletcher, Rhett Reese, Paul Wernick, Chris McKenna, Erik Sommers, Chris Evans, Ana de Armas, Adrien Brody, Mike Moh, Amy Sedaris, Tate Donovan, Tim Blake Nelson, Marwan Kenzari, Anna Deavere Smith",[92],
Chevalier,Searchlight Pictures,"Stephen Williams, Stefani Robinson, Kelvin Harrison Jr., Samara Weaving, Lucy Boynton, Marton Csokas, Minnie Driver",[93],
Somewhere in Queens,Roadside Attractions,"Ray Romano, Laurie Metcalf, Sadie Stanley, Jennifer Esposito, Jon Manfrellotti, Sebastian Maniscalco, Tony Lo Bianco",[94],
Carmen,Sony Pictures Classics,"Benjamin Millepied, Alexander Dinelaris Jr., Melissa Barrera, Paul Mescal, Rossy de Palma, Tracy ""The DOC"" Curry",[95],
A Tourist's Guide to Love,Netflix,"Steven K. Tsuchida, Rachael Leigh Cook, Missi Pyle, Ben Feldman, Nondumiso Tembe, Andrew Barth Feldman",[96],
"Are You There God? It's Me, Margaret.",Lionsgate,"Kelly Fremon Craig, Rachel McAdams, Abby Ryder Fortson, Benny Safdie, Kathy Bates",[37],
Big George Foreman,Affirm Films,"George Tillman Jr., Frank Baldwin, Khris Davis, John Magaro, Lawrence Gilliard Jr., Sonja Sohn, Forest Whitaker",[52],
Sisu,Lionsgate,"Jalmari Helander, Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo, Onni Tommila",[99],
Clock,Hulu,"Dianna Agron, Melora Hardin, Saul Rubinek",[100],
Love Again,Screen Gems,"James C. Strouse, Priyanka Chopra, Sam Heughan, Russell Tovey, Omid Djalili, Celia Imrie, Celine Dion",[102],
One Ranger,Lionsgate,"Jesse V. Johnson, Thomas Jane, John Malkovich, Dominique Tipper",[103],
Knights of the Zodiac,Stage 6 Films,"Tomasz Bagiński, Mackenyu, Famke Janssen, Madison Iseman, Diego Tinoco, Mark Dacascos, Nick Stahl, Sean Bean",[105],
Hypnotic,Ketchup Entertainment,"Robert Rodriguez, Max Borenstein, Ben Affleck, Alice Braga, William Fichtner, J. D. Pardo, Hala Finley, Dayo Okeniyi, Jeff Fahey, Jackie Earle Haley",[106],
Fool's Paradise,Roadside Attractions,"Charlie Day, Ken Jeong, Kate Beckinsale, Adrien Brody, Jason Sudeikis, Edie Falco, Jason Bateman, Common, Ray Liotta, John Malkovich",[107],
Rally Road Racers,Vanguard Animation,"Jimmy O. Yang, J. K. Simmons, Chloe Bennet, Lisa Lu, Sharon Horgan, Catherine Tate, John Cleese",[108],
The Mother,Netflix,"Niki Caro, Misha Green, Andrea Berloff, Peter Craig, Jennifer Lopez, Joseph Fiennes, Omari Hardwick, Paul Raci, Gael García Bernal",[109],
Crater,Disney+,"Kyle Patrick Alvarez, Mckenna Grace, Billy Barratt, Scott Mescudi",[110],
Mercy,Paramount Global Content Distribution,"Tony Dean Smith, Jonathan Rhys Meyers, Jon Voight, Leah Gibson",[111],
