title,director,cast,genre,notes
Priscilla,A24,"Sofia Coppola, Cailee Spaeny, Jacob Elordi, Dagmara Domińczyk",[265],
Suitable Flesh,RLJE Films,"Joe Lynch, Dennis Paoli, Heather Graham, Judah Lewis, Bruce Davison, Johnathon Schaech, Barbara Crampton",[266],
Rustin,Netflix,"George C. Wolfe, Dustin Lance Black, Colman Domingo, Chris Rock, Glynn Turman, Aml Ameen, CCH Pounder, Da'Vine Joy Randolph, Michael Potts, Jeffrey Wright, Audra McDonald",[270],
The Marsh King's Daughter,Lionsgate,"Neil Burger, Mark L. Smith, Daisy Ridley, Ben Mendelsohn, Garrett Hedlund, Caren Pistorius, Brooklynn Prince, Gil Birmingham",[271],
What Happens Later,Bleecker Street,"Meg Ryan, Steven Dietz, Kirk Lynn, David Duchovny",[272],
All Dirt Roads Taste of Salt,A24,"Raven Jackson, Moses Ingram, Zainab Jah, Sheila Atim, Chris Chalk",[273],
Helen's Dead,Screen Media,"K. Asher Levin, Annabelle Dexter-Jones, Tyrese Gibson, Emile Hirsch, Dylan Gelula, Oliver Cooper",[274],
Rumble Through the Dark,Lionsgate,"Michael Farris Smith, Aaron Eckhart, Bella Thorne, Ritchie Coster, Joe Hursley, Marianne Jean-Baptiste",[276],
Dream Scenario,A24,"Kristoffer Borgli, Nicolas Cage, Julianne Nicholson, Michael Cera, Tim Meadows, Dylan Gelula, Dylan Baker",[277],
Journey to Bethlehem,Affirm Films,"Adam Anders, Peter Barsocchini, Milo Manheim, Lecrae, Joel Smallbone, Antonio Banderas",[278],
Your Lucky Day,Well Go USA Entertainment,"Angus Cloud, Elliot Knight, Jason O'Mara, Sterling Beaumon, Jason Wiles, Spencer Garrett",[279],
It's a Wonderful Knife,RLJE Films,"Joel McHale, Justin Long, Jane Widdop, Katharine Isabelle, Cassandra Naud",[280],
Manodrome,Lionsgate,"John Trengove, Jesse Eisenberg, Adrien Brody, Odessa Young, Philip Ettinger, Ethan Suplee, Evan Jonigkeit",[281],
Trolls Band Together,Universal Pictures,"Walt Dohrn, Anna Kendrick, Justin Timberlake, Kenan Thompson, Kunal Nayyar, Camila Cabello, Eric Andre, Troye Sivan, Kid Cudi, Andrew Rannells, Amy Schumer, Daveed Diggs, RuPaul, Zosia Mamet",[285],
Thanksgiving,TriStar Pictures,"Eli Roth, Patrick Dempsey, Addison Rae, Milo Manheim, Jalen Thomas Brooks, Rick Hoffman, Gina Gershon",[286],
Next Goal Wins,Searchlight Pictures,"Taika Waititi, Iain Morris, Michael Fassbender, Oscar Kightley, David Fane, Rachel House, Beulah Koale, Will Arnett, Elisabeth Moss",[287],
Saltburn,Metro-Goldwyn-Mayer,"Emerald Fennell, Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant, Alison Oliver, Archie Madekwe, Carey Mulligan",[288],
May December,Netflix,"Todd Haynes, Natalie Portman, Julianne Moore, Charles Melton, Cory Michael Smith",[289],
Dashing Through the Snow,Disney+,"Tim Story, Scott Rosenberg, Lil Rel Howery, Ludacris, Teyonah Parris, Oscar Nunez",[290],
Please Don't Destroy: The Treasure of Foggy Mountain,Peacock,"Meg Stalter, X Mayo, Bowen Yang, Conan O'Brien",[291],
Napoleon,Columbia Pictures,"Ridley Scott, David Scarpa, Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Ben Miles, Rupert Everett",[294],
Maestro,Netflix,"Bradley Cooper, Josh Singer, Carey Mulligan, Matt Bomer, Maya Hawke, Sarah Silverman",[295],
Leave the World Behind,Netflix,"Sam Esmail, Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la Herrold, Kevin Bacon",[296],
Good Burger 2,Paramount+,"Phil Traill, Kevin Kopelow, Heath Seifert, Kenan Thompson, Kel Mitchell",[297],
Genie,Peacock,"Richard Curtis, Melissa McCarthy, Paapa Essiedu, Denée Benton, Marc Maron, Luis Guzmán, Alan Cumming",[298],
Silent Night,Lionsgate,"John Woo, Joel Kinnaman, Scott Mescudi, Harold Torres, Catalina Sandino Moreno",[301],
Candy Cane Lane,Amazon Studios,"Reginald Hudlin, Eddie Murphy, Tracee Ellis Ross, Jillian Bell, Nick Offerman, Robin Thede, Chris Redd",[302],
Eileen,Neon,"William Oldroyd, Ottessa Moshfegh, Thomasin McKenzie, Shea Whigham, Marin Ireland, Owen Teague, Anne Hathaway",[303],
The Shift,Angel Studios,"Kristoffer Polaha, Neal McDonough, Sean Astin",[304],
Origin,Neon,"Ava DuVernay, Aunjanue Ellis-Taylor, Jon Bernthal, Vera Farmiga, Audra McDonald, Niecy Nash-Betts, Nick Offerman, Blair Underwood",[309],
Diary of a Wimpy Kid Christmas: Cabin Fever,Disney+,"Jeff Kinney, Erica Cerra, Chris Diamantopoulos",[310],
Our Son,Vertical Entertainment,"Peter Nickowitz, Luke Evans, Billy Porter, Andrew Rannells, Robin Weigert, Kate Burton, Phylicia Rashad",[311],
Chicken Run: Dawn of the Nugget,Netflix,"Sam Fell, Karey Kirkpatrick, John O'Farrell, Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton, Lynn Ferguson, David Bradley, Jane Horrocks, Romesh Ranganathan, Daniel Mays, Nick Mohammed, Miranda Richardson, Peter Serafinowicz",[315],
Rebel Moon,Netflix,"Zack Snyder, Kurt Johnstad, Shay Hatten, Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman, Bae Doona, Ray Fisher, Charlie Hunnam, Anthony Hopkins",[316],
American Fiction,Orion Pictures,"Cord Jefferson, Jeffrey Wright, Tracee Ellis Ross, Issa Rae, Sterling K. Brown, John Ortiz, Erika Alexander, Leslie Uggams, Adam Brody, Keith David",[317],
The Family Plan,Apple TV+,"Simon Cellan Jones, Mark Wahlberg, Michelle Monaghan, Saïd Taghmaoui, Maggie Q, Zoe Colletti, Ciarán Hinds",[318],
Finestkind,Paramount+,"Brian Helgeland, Ben Foster, Toby Wallace, Jenna Ortega, Tommy Lee Jones",[319],
The Zone of Interest,A24,"Jonathan Glazer, Christian Friedel, Sandra Hüller",[320],
Migration,Universal Pictures,"Benjamin Renner, Mike White, Kumail Nanjiani, Elizabeth Banks, Awkwafina, Keegan-Michael Key, Carol Kane, David Mitchell, Isabela Merced, Danny DeVito",[323],
Anyone but You,Columbia Pictures,"Will Gluck, Sydney Sweeney, Glen Powell, Alexandra Shipp, GaTa, Hadley Robinson, Michelle Hurd, Dermot Mulroney, Darren Barnet, Rachel Griffiths, Bryan Brown",[324],
The Iron Claw,A24,"Sean Durkin, Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney, Lily James, Holt McCallany",[325],
Freud's Last Session,Sony Pictures Classics,"Mark St. Germain, Anthony Hopkins, Matthew Goode, Liv Lisa Fries, Jodi Balfour, Jeremy Northam, Orla Brady",[326],
Memory,Ketchup Entertainment,"Michel Franco, Jessica Chastain, Peter Sarsgaard, Merritt Wever, Elsie Fisher, Josh Charles, Jessica Harper",[327],
The Boys in the Boat,Metro-Goldwyn-Mayer,"George Clooney, Mark L. Smith, Callum Turner, Joel Edgerton, Peter Guinness",[329],
Ferrari,Neon,"Michael Mann, Troy Kennedy Martin, Adam Driver, Penelope Cruz, Shailene Woodley, Sarah Gadon, Gabriel Leone, Jack O'Connell, Patrick Dempsey",[330],
